vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0621350	0	7	3	4
PF3D7_1314600	68	54	13	25
PF3D7_0209400	305	286	208	207
PF3D7_1142200	8	20	11	3
PF3D7_0507200	43	45	51	43
PF3D7_0806000	81	62	57	66
PF3D7_1006800	1199	924	1028	1184
PF3D7_0412000	291	259	392	581
PF3D7_0732200	3	0	39	68
PF3D7_0324800	1	0	1	0
PF3D7_1227500	419	369	331	435
PF3D7_0301800	10	10	147	163
PF3D7_0920900	229	164	128	188
PF3D7_1443600	28	34	20	32
PF3D7_0415900	3133	3383	2431	2360
PF3D7_0214100	1632	1439	807	1281
PF3D7_0726100	10	6	24	35
PF3D7_0717700	1335	1484	1112	1270
PF3D7_1342200	14	18	8	8
PF3D7_1400700	0	0	0	0
PF3D7_1322800	49	66	27	20
PF3D7_1477400	1	0	0	0
PF3D7_1106700	111	93	79	100
PF3D7_0621100	136	191	134	127
PF3D7_1040800	0	0	0	0
PF3D7_0909100	22	10	13	11
PF3D7_1028500	111	124	147	169
PF3D7_1342400	843	1148	653	701
PF3D7_1419100	64	65	100	121
PF3D7_1448500	390	328	445	530
PF3D7_1125000	272	410	463	521
PF3D7_1468000	10	9	14	22
PF3D7_0500900	63	74	63	67
PF3D7_1207600	66	45	77	80
PF3D7_0311400	4	1	9	10
PF3D7_0722200	146	184	133	111
PF3D7_0515900	73	124	85	89
PF3D7_0319500	227	178	287	331
PF3D7_API02500	0	0	0	0
PF3D7_1450000	50	75	139	146
PF3D7_0300600	0	0	0	0
PF3D7_1222800	9	5	6	20
PF3D7_1443900	242	272	390	418
PF3D7_1470100	104	78	41	65
PF3D7_0519700	401	393	323	444
PF3D7_1469700	95	77	84	117
PF3D7_1455700	135	108	209	250
PF3D7_1132100	2	4	5	6
PF3D7_0532200	35	43	73	111
PF3D7_0508700	155	137	325	406
PF3D7_1227400	76	87	107	106
PF3D7_1126200	2295	2635	1542	1554
PF3D7_1242500	121	47	50	67
PF3D7_0806700	161	133	167	220
PF3D7_0303500	75	51	90	97
PF3D7_0911100	25	29	139	179
PF3D7_0422800	69	102	46	49
PF3D7_0926300	84	103	77	121
PF3D7_1215600	53	74	13	19
PF3D7_1436400	11	9	2	4
PF3D7_0808700	3	1	3	4
PF3D7_1444700	164	212	178	145
PF3D7_1209600	9	14	9	13
PF3D7_0523800	129	189	334	358
PF3D7_1459700	197	222	173	210
PF3D7_1409000	143	106	144	200
PF3D7_1028900	11	15	14	13
PF3D7_1447100	163	227	294	317
PF3D7_1026000	262	287	720	911
PF3D7_1366000	12	40	6	11
malmito_rna_RNA14	1	0	0	0
PF3D7_0919800	174	188	257	280
PF3D7_0205000	22	25	23	22
PF3D7_1354200	109	83	66	63
PF3D7_0610800	1520	1488	1129	1189
PF3D7_1353200	38	23	192	211
PF3D7_0700300	3	0	2	1
PF3D7_0914300	83	81	60	96
PF3D7_1005200	1	1	0	1
PF3D7_0605000	108	121	150	189
PF3D7_0410900	48	49	70	78
PF3D7_1113700	218	125	93	118
PF3D7_1108800	1	0	0	0
PF3D7_1129400	282	257	373	458
PF3D7_1215000	96	98	86	97
PF3D7_0607000	1513	1256	2142	2835
PF3D7_0519600	219	194	197	223
PF3D7_1460600	16	16	30	20
PF3D7_1321700	425	498	486	522
PF3D7_0820000	307	162	430	547
PF3D7_0623900	139	204	192	167
PF3D7_0311900	78	98	61	86
PF3D7_1372900	0	0	0	0
PF3D7_0905600	2	2	0	1
PF3D7_1437700	173	113	119	148
PF3D7_1307100	97	50	146	198
PF3D7_0532400	234	86	290	374
PF3D7_0527500	2166	2024	1351	1468
PF3D7_1110300	221	205	201	208
PF3D7_0620600	3	5	5	6
PF3D7_1214700	60	65	42	58
PF3D7_1413400	93	173	156	153
PF3D7_1327000	61	36	29	38
PF3D7_0716300	1906	2089	1068	1246
PF3D7_1426600	84	65	29	43
PF3D7_0210400	191	173	116	152
PF3D7_0920800	396	276	476	502
PF3D7_1250000	204	279	276	303
PF3D7_1009200	44	31	42	30
PF3D7_1418500	0	0	0	0
PF3D7_0921900	476	689	764	702
PF3D7_1463300	103	99	51	47
PF3D7_0318400	1	4	0	2
PF3D7_1321100	75	37	46	44
PF3D7_1252900	4	3	8	13
PF3D7_1361300	1	4	0	2
PF3D7_1244800	614	691	847	925
PF3D7_1020100	0	1	0	0
PF3D7_0525000	173	154	1078	1270
PF3D7_0622600	165	255	135	138
PF3D7_0732500	0	0	1	0
PF3D7_0207000	1101	1110	920	996
PF3D7_1335300	13	9	36	34
PF3D7_0412300	42	33	16	26
PF3D7_1433400	772	557	458	531
PF3D7_1006900	218	366	406	414
PF3D7_1473600	31	40	16	24
PF3D7_1014800	29	24	16	12
PF3D7_1471900	51	47	56	95
PF3D7_1026600	47	47	136	218
PF3D7_0107600	2	1	2	4
PF3D7_0922100	491	385	444	565
PF3D7_1471000	112	67	154	219
PF3D7_1429200	3	6	113	155
PF3D7_0800100	5	0	3	3
PF3D7_1416400	6	9	5	13
PF3D7_0516200	1202	1321	877	858
PF3D7_1029600	8832	10118	2473	2715
PF3D7_0517100	66	69	25	25
PF3D7_1125200	113	131	147	182
PF3D7_0520800	144	124	128	166
PF3D7_1114800	31	41	24	44
PF3D7_0805600	298	301	199	223
PF3D7_1242600	53	58	66	78
PF3D7_0313500	30	29	15	15
PF3D7_1320900	103	100	92	111
PF3D7_1209900	128	111	95	132
PF3D7_1310700	78	143	263	268
PF3D7_1302400	1	5	0	0
PF3D7_1300100	26	15	18	18
PF3D7_1448000	147	123	119	117
PF3D7_0614200	44	60	26	30
PF3D7_1221900	23	17	133	161
mal_mito_1	52	105	13	12
PF3D7_0322900	2421	2695	1244	1278
PF3D7_0934100	217	330	230	223
PF3D7_0918100	280	341	224	237
PF3D7_1018100	4	14	2	2
PF3D7_1019400	1194	1502	616	676
PF3D7_1211200	49	64	48	51
PF3D7_0518300	1203	1522	964	1043
PF3D7_1023200	144	142	112	154
PF3D7_1222300	1950	1807	2120	2756
PF3D7_0518400	6	5	1	3
PF3D7_1009400	190	198	295	278
PF3D7_0630000	0	1	0	0
PF3D7_1320100	96	143	153	132
PF3D7_1100700	0	0	0	0
PF3D7_1302200	1	0	12	9
PF3D7_1221300	221	195	297	354
PF3D7_0616800	194	267	327	363
PF3D7_1429700	479	776	525	536
PF3D7_1441700	19	29	39	30
PF3D7_0415300	569	377	414	642
PF3D7_0806800	968	898	683	781
PF3D7_1119300	281	303	276	294
PF3D7_0222900	0	0	0	0
PF3D7_0105800	455	491	408	453
PF3D7_0526600	59	37	294	378
PF3D7_1423800	127	102	149	210
PF3D7_0822100	68	70	49	43
PF3D7_0924100	27	35	58	68
PF3D7_0918400	116	212	19	34
PF3D7_1441000	48	34	22	27
PF3D7_1015100	100	68	78	116
PF3D7_0322400	137	154	138	269
PF3D7_0507500	51	107	214	241
PF3D7_0521100	10	13	3	5
PF3D7_1254400	0	0	0	1
PF3D7_1107400	189	253	304	304
PF3D7_0810800	212	163	121	155
PF3D7_0830900	35	33	186	269
PF3D7_1438000	552	527	450	519
PF3D7_0832100	6	9	94	110
PF3D7_0937200	0	0	0	0
PF3D7_1471800	16	28	24	25
PF3D7_1454200	27	12	12	17
PF3D7_1348600	52	53	30	49
PF3D7_1203700	2770	3016	2376	2683
PF3D7_1247300	266	295	152	178
PF3D7_0601300	0	0	0	0
PF3D7_1113100	479	748	860	885
PF3D7_0928800	100	96	97	97
PF3D7_1033200	401	315	361	348
PF3D7_0702500	218	197	1105	1358
PF3D7_1362200	155	189	362	382
PF3D7_1113300	484	872	171	161
PF3D7_1138500	443	357	507	580
PF3D7_1421900	504	706	481	511
PF3D7_1421200	1689	2095	845	882
PF3D7_1443800	111	99	113	156
PF3D7_0100200	3	0	1	2
PF3D7_0406000	238	396	446	471
PF3D7_1408300	4	1	2	2
PF3D7_0816300	25	14	7	21
PF3D7_1352200	135	127	216	274
PF3D7_1122100	94	89	24	51
malmito_rna_SSUF	1	2	0	0
PF3D7_0508200	191	277	185	166
PF3D7_1320200	67	95	71	62
PF3D7_1121600	3867	4714	4251	4383
PF3D7_1231400	19	20	12	22
PF3D7_1216500	48	74	61	74
PF3D7_0532100	7128	4400	4359	4344
PF3D7_1412500	114	60	352	412
PF3D7_1322000	449	739	570	589
PF3D7_1002900	269	307	221	225
PF3D7_1001200	1173	1597	374	369
PF3D7_1308100	117	118	107	90
PF3D7_0806300	174	210	200	189
PF3D7_1249300	232	216	257	300
PF3D7_1027000	27	18	58	88
PF3D7_0816000	187	211	328	408
PF3D7_0318700	3	3	17	16
PF3D7_0104500	215	187	107	129
PF3D7_0910600	63	76	66	98
PF3D7_1249600	45	36	36	42
PF3D7_0402200	13	9	26	48
PF3D7_0504700	104	117	232	272
PF3D7_0305200	97	80	102	129
PF3D7_0727800	284	226	147	189
PF3D7_0607100	2	7	5	1
PF3D7_1338100	1389	1487	1362	1409
PF3D7_0502800	27	23	12	28
PF3D7_0705900	571	926	327	349
PF3D7_1407200	50	70	100	130
PF3D7_0524900	147	111	350	455
PF3D7_1216400	161	155	157	180
PF3D7_0308700	22	33	37	37
PF3D7_1132400	191	210	184	201
PF3D7_1241200	145	87	59	87
PF3D7_0611100	76	94	39	50
PF3D7_1332000	197	268	219	210
PF3D7_0531200	23	25	14	19
PF3D7_1124400	104	147	106	108
PF3D7_0804300	25	26	56	85
PF3D7_0928000	288	380	396	446
PF3D7_0526800	348	249	250	323
PF3D7_0617300	60	99	139	149
PF3D7_1445600	386	560	215	260
PF3D7_0424700	8	5	163	181
PF3D7_0632700	2	0	2	2
PF3D7_1131000	67	73	47	54
PF3D7_1461800	4	1	64	122
PF3D7_1208800	91	98	135	184
PF3D7_1442200	78	84	64	131
PF3D7_1349400	102	79	50	75
PF3D7_1039900	3	1	0	2
PF3D7_1018600	253	202	122	143
PF3D7_0111700	1	0	0	0
PF3D7_0727900	6	7	14	16
PF3D7_API06700	0	0	0	0
PF3D7_1002700	119	117	126	180
PF3D7_1124600	1283	1151	1308	1358
PF3D7_0701900	0	6	54	72
PF3D7_1424700	0	0	0	0
PF3D7_0417600	19	22	12	24
PF3D7_0903700	686	821	666	741
PF3D7_1418100	4	5	3	7
PF3D7_0628100	98	66	88	106
PF3D7_1309300	377	314	225	296
PF3D7_0710400	40	33	49	50
PF3D7_0900700	0	2	0	0
PF3D7_1474400	50	32	58	87
PF3D7_1451200	688	571	802	1193
PF3D7_1455200	223	201	232	237
PF3D7_1139500	12	4	3	9
PF3D7_0703300	94	126	72	87
PF3D7_1411500	62	51	98	147
PF3D7_0214600	27	28	141	142
PF3D7_1232500	109	125	203	205
PF3D7_1217400	60	79	56	64
PF3D7_1213500	15	36	3	5
PF3D7_1229900	145	176	98	88
PF3D7_0913400	58	69	51	66
PF3D7_0527800	0	0	0	0
PF3D7_0107900	80	74	51	52
PF3D7_1439200	31	25	19	23
PF3D7_0934300	71	82	35	43
PF3D7_0203200	66	37	35	47
PF3D7_0616100	31	61	63	77
PF3D7_1109700	0	0	0	0
PF3D7_0805000	120	131	129	118
PF3D7_1465200	203	144	136	147
PF3D7_1027100	88	78	153	213
PF3D7_0514900	129	203	155	180
PF3D7_1408700	282	172	286	302
PF3D7_1142500	850	1030	338	367
PF3D7_1121800	0	0	0	3
PF3D7_1245000	24	19	19	21
PF3D7_1203600	50	71	105	123
PF3D7_0415700	29	38	21	28
PF3D7_0609500	23	17	9	7
PF3D7_1135900	944	1677	900	905
PF3D7_0105000	33	32	42	57
PF3D7_1316800	236	194	229	267
PF3D7_0717500	274	251	262	337
PF3D7_0928400	70	117	111	146
PF3D7_1369300	1	3	5	8
PF3D7_1031900	9	13	14	12
PF3D7_0529200	27	46	16	13
PF3D7_1405100	70	61	133	165
PF3D7_1134700	152	122	291	354
PF3D7_1442100	144	164	101	120
PF3D7_1142700	127	98	122	131
PF3D7_1350000	3	2	1	3
PF3D7_1111600	20	26	22	35
PF3D7_1012800	53	47	22	20
PF3D7_0409500	342	329	292	287
PF3D7_0218500	157	249	186	191
PF3D7_0720900	99	107	103	104
PF3D7_1308200	1137	716	367	490
PF3D7_0222200	0	0	0	0
PF3D7_1302000	178	112	399	416
PF3D7_1032600	14	16	7	6
PF3D7_1241800	207	185	222	303
PF3D7_1025600	126	96	57	65
PF3D7_1219700	6	7	2	6
PF3D7_0531500	0	0	0	0
PF3D7_1039000	180	62	212	273
PF3D7_1364400	83	47	78	84
PF3D7_0323700	186	256	394	448
PF3D7_1337600	0	1	0	0
PF3D7_0208600	241	319	229	284
PF3D7_1027600	26	46	9	7
PF3D7_0713100	49	32	43	49
PF3D7_0908000	225	299	347	427
PF3D7_1203900	263	267	247	250
PF3D7_0618800	46	14	12	10
PF3D7_0210900	692	490	343	378
PF3D7_1254600	0	0	1	0
PF3D7_1224400	66	40	52	76
PF3D7_0306200	136	94	84	88
PF3D7_1369700	85	135	92	94
PF3D7_1239500	38	43	86	109
PF3D7_1478800	4	5	32	31
PF3D7_1427500	312	196	107	153
PF3D7_0627100	438	328	382	470
PF3D7_1009300	34	74	43	42
PF3D7_1113600	151	187	243	286
PF3D7_0804900	142	170	140	194
PF3D7_1146600	154	130	220	242
PF3D7_0316300	1233	968	1060	1235
PF3D7_1368100	359	372	488	504
PF3D7_1467600	57	29	403	516
PF3D7_1432600	61	68	44	43
PF3D7_1102700	103	47	336	419
PF3D7_1111200	49	39	53	72
PF3D7_1316400	6	2	2	5
PF3D7_0714000	2297	3134	2037	2110
PF3D7_0816900	3	1	1	2
PF3D7_1343100	181	249	273	288
PF3D7_0932600	38	91	85	68
PF3D7_0307100	1949	2216	985	1115
PF3D7_0111600	14	8	7	6
PF3D7_0900900	3	0	3	6
PF3D7_0924200	66	71	58	79
PF3D7_0405300	9	24	10	15
PF3D7_1401600	236	143	517	596
PF3D7_0614900	201	176	134	170
PF3D7_1340900	222	282	563	620
PF3D7_0209700	255	255	251	287
PF3D7_1227900	32	38	27	31
PF3D7_1031200	23	44	74	96
PF3D7_1030400	12	35	7	6
PF3D7_0108800	156	219	250	257
PF3D7_1401700	8	35	13	16
PF3D7_1476600	0	1	1	1
PF3D7_0415400	178	232	181	173
PF3D7_0626000	104	96	84	102
PF3D7_1253300	11	8	35	30
PF3D7_0106400	154	166	128	173
PF3D7_0603000	125	149	166	194
PF3D7_0610900	156	134	156	196
PF3D7_1105000	640	1066	1307	1207
PF3D7_1338600	299	353	377	441
PF3D7_0722300	203	239	274	318
PF3D7_1410200	328	212	410	545
PF3D7_0525800	58	127	207	217
PF3D7_0606300	2	1	1	1
PF3D7_1026200	134	127	62	68
PF3D7_1200700	13	10	216	259
PF3D7_1347900	150	90	62	87
PF3D7_0200500	0	0	1	1
PF3D7_1317800	2103	2929	1153	1200
PF3D7_1010500	7	4	2	6
PF3D7_1243800	174	202	128	140
PF3D7_1301400	77	22	285	355
PF3D7_0526300	120	153	112	97
PF3D7_0821000	330	460	407	401
PF3D7_0732400	0	0	0	0
PF3D7_0803600	243	268	315	337
PF3D7_1338800	76	69	88	100
PF3D7_1203500	234	282	386	395
PF3D7_1029800	415	506	468	556
PF3D7_0419100	40	45	45	27
PF3D7_1147000	0	0	0	0
PF3D7_0401100	0	0	0	0
mal_rna_19	4	2	7	1
PF3D7_1448700	52	38	27	28
PF3D7_1445300	134	153	102	115
PF3D7_0213600	21	21	16	24
PF3D7_1454400	1382	1233	1431	1618
PF3D7_0717300	133	152	54	76
PF3D7_0609400	81	65	80	143
PF3D7_0509100	437	346	396	525
PF3D7_1030200	58	95	91	86
PF3D7_1470500	31	61	28	23
PF3D7_1217100	44	41	12	16
PF3D7_0717600	190	183	162	191
PF3D7_1312300	72	98	97	102
PF3D7_0701600	6	1	6	7
PF3D7_1463500	119	80	153	160
PF3D7_0414000	381	262	223	262
PF3D7_1212000	413	394	267	316
PF3D7_1404900	507	391	498	664
PF3D7_0316900	397	437	296	323
PF3D7_1115000	238	362	233	237
PF3D7_0501900	53	61	49	55
PF3D7_0610000	121	132	70	89
PF3D7_1131500	2	5	20	18
PF3D7_1122400	137	132	175	239
PF3D7_1115300	113	88	177	217
PF3D7_0811300	972	756	882	1094
PF3D7_1025500	57	40	29	36
PF3D7_1458600	59	50	78	65
PF3D7_1456700	339	380	323	388
PF3D7_0529300	47	62	52	61
PF3D7_0526400	54	74	11	16
PF3D7_0604000	8	10	16	18
PF3D7_1305900	139	110	149	195
PF3D7_1426400	3	2	2	0
PF3D7_1141000	6	0	7	17
PF3D7_1433800	99	64	93	101
PF3D7_0303800	131	102	92	136
PF3D7_1472600	66	111	165	167
PF3D7_0525300	19	16	29	29
PF3D7_API01700	0	0	0	0
PF3D7_1401500	5	4	237	306
PF3D7_0702200	12	11	143	190
PF3D7_0830500	5	3	378	469
PF3D7_0502300	1	2	1	2
PF3D7_1425800	110	140	230	258
PF3D7_1120200	94	119	135	121
PF3D7_0727200	159	164	170	209
PF3D7_1425000	2	1	0	0
PF3D7_1445800	29	23	8	14
PF3D7_1405300	36	31	35	24
PF3D7_1116200	18	49	29	36
PF3D7_1119700	18	26	25	30
PF3D7_1471600	2	5	1	2
PF3D7_0519500	292	250	279	348
PF3D7_1126100	129	119	84	91
PF3D7_1101400	0	0	0	0
PF3D7_API03900	0	0	0	0
PF3D7_1431900	40	84	17	16
PF3D7_1234200	157	113	119	143
